,time (s),Channel 1 (V),Channel 2 (V)
291,-0.00961,-0.36,-0.32
292,-0.0096,-0.2,-0.32
293,-0.00959,-0.08,-0.28
294,-0.00958,0.0,-0.28
295,-0.009569999999999999,0.04,-0.28
296,-0.009559999999999999,0.08,-0.24
297,-0.00955,0.04,-0.24
298,-0.00954,-0.04,-0.2
299,-0.00953,-0.12,-0.2
300,-0.00952,-0.2,-0.2
301,-0.00951,-0.36,-0.2
302,-0.0095,-0.48,-0.2
303,-0.00949,-0.56,-0.24
304,-0.009479999999999999,-0.68,-0.28
305,-0.00947,-0.76,-0.32
306,-0.00946,-0.8,-0.32
307,-0.00945,-0.76,-0.36
308,-0.00944,-0.68,-0.4
309,-0.00943,-0.6,-0.44
310,-0.00942,-0.48,-0.44
311,-0.00941,-0.36,-0.44
312,-0.009399999999999999,-0.2,-0.44
313,-0.009389999999999999,-0.08,-0.4
314,-0.00938,0.0,-0.36
315,-0.00937,0.08,-0.36
316,-0.00936,0.08,-0.36
317,-0.00935,0.08,-0.32
318,-0.00934,0.04,-0.28
319,-0.00933,-0.04,-0.24
320,-0.00932,-0.16,-0.24
321,-0.009309999999999999,-0.28,-0.24
322,-0.0093,-0.4,-0.24
323,-0.00929,-0.48,-0.28
324,-0.00928,-0.6,-0.32
325,-0.00927,-0.64,-0.32
326,-0.00926,-0.64,-0.36
327,-0.00925,-0.64,-0.36
328,-0.00924,-0.56,-0.4
329,-0.009229999999999999,-0.48,-0.4
330,-0.009219999999999999,-0.36,-0.4
331,-0.00921,-0.2,-0.36
332,-0.0092,-0.04,-0.36
333,-0.00919,0.08,-0.32
334,-0.00918,0.16,-0.32
335,-0.00917,0.28,-0.28
336,-0.00916,0.32,-0.28
337,-0.00915,0.32,-0.24
338,-0.009139999999999999,0.24,-0.16
339,-0.00913,0.2,-0.16
340,-0.00912,0.08,-0.12
341,-0.00911,-0.04,-0.12
342,-0.0091,-0.16,-0.12
343,-0.009089999999999999,-0.24,-0.12
344,-0.00908,-0.36,-0.16
345,-0.00907,-0.4,-0.16
346,-0.009059999999999999,-0.4,-0.2
347,-0.009049999999999999,-0.36,-0.2
348,-0.00904,-0.32,-0.2
349,-0.00903,-0.2,-0.2
350,-0.00902,-0.08,-0.2
351,-0.00901,0.08,-0.2
352,-0.009,0.24,-0.2
353,-0.00899,0.36,-0.16
354,-0.00898,0.48,-0.12
355,-0.008969999999999999,0.56,-0.08
356,-0.00896,0.6,-0.04
357,-0.00895,0.6,0.0
358,-0.00894,0.56,0.04
359,-0.00893,0.48,0.08
360,-0.008919999999999999,0.4,0.08
361,-0.00891,0.28,0.12
362,-0.0089,0.16,0.12
363,-0.008889999999999999,0.04,0.08
364,-0.008879999999999999,-0.04,0.08
365,-0.00887,-0.08,0.08
366,-0.00886,-0.12,0.08
367,-0.00885,-0.08,0.08
368,-0.00884,-0.04,0.04
369,-0.00883,0.08,0.04
370,-0.00882,0.24,0.04
371,-0.00881,0.36,0.08
372,-0.008799999999999999,0.52,0.08
373,-0.00879,0.64,0.12
374,-0.00878,0.76,0.16
375,-0.00877,0.84,0.2
376,-0.00876,0.84,0.24
377,-0.008749999999999999,0.88,0.28
378,-0.00874,0.8,0.32
379,-0.00873,0.76,0.36
380,-0.008719999999999999,0.6,0.36
381,-0.008709999999999999,0.52,0.4
382,-0.0087,0.4,0.4
383,-0.00869,0.28,0.36
384,-0.00868,0.16,0.36
385,-0.00867,0.12,0.36
386,-0.00866,0.12,0.32
387,-0.00865,0.12,0.32
388,-0.00864,0.2,0.28
389,-0.008629999999999999,0.32,0.28
390,-0.00862,0.4,0.32
391,-0.00861,0.56,0.28
392,-0.0086,0.68,0.32
393,-0.00859,0.84,0.36
394,-0.00858,0.92,0.4
395,-0.00857,1.0,0.44
396,-0.00856,1.0,0.44
397,-0.008549999999999999,1.0,0.48
398,-0.008539999999999999,0.96,0.52
399,-0.00853,0.84,0.56
400,-0.00852,0.76,0.6
401,-0.00851,0.64,0.56
402,-0.0085,0.48,0.52
403,-0.00849,0.32,0.56
404,-0.00848,0.28,0.52
405,-0.008469999999999998,0.24,0.48
406,-0.008459999999999999,0.16,0.48
407,-0.00845,0.16,0.48
408,-0.00844,0.24,0.44
409,-0.00843,0.32,0.4
410,-0.00842,0.4,0.4
411,-0.00841,0.56,0.44
412,-0.0084,0.72,0.44
413,-0.00839,0.8,0.44
414,-0.008379999999999999,0.88,0.48
415,-0.008369999999999999,0.96,0.48
416,-0.00836,1.0,0.56
417,-0.00835,0.96,0.56
418,-0.00834,0.92,0.6
419,-0.00833,0.76,0.6
420,-0.00832,0.68,0.64
421,-0.00831,0.52,0.6
422,-0.008299999999999998,0.4,0.6
423,-0.008289999999999999,0.24,0.56
424,-0.00828,0.16,0.56
425,-0.00827,0.08,0.52
426,-0.00826,0.04,0.48
427,-0.00825,0.04,0.44
428,-0.00824,0.12,0.4
429,-0.00823,0.16,0.4
430,-0.00822,0.32,0.4
431,-0.008209999999999999,0.4,0.4
432,-0.008199999999999999,0.52,0.36
433,-0.00819,0.64,0.36
434,-0.00818,0.72,0.44
435,-0.00817,0.76,0.44
436,-0.00816,0.76,0.44
437,-0.00815,0.76,0.48
438,-0.00814,0.68,0.48
439,-0.008129999999999998,0.56,0.48
440,-0.008119999999999999,0.44,0.48
441,-0.00811,0.32,0.48
442,-0.0081,0.16,0.48
443,-0.00809,0.0,0.44
444,-0.00808,-0.08,0.4
445,-0.00807,-0.2,0.36
446,-0.00806,-0.2,0.36
447,-0.00805,-0.2,0.28
448,-0.008039999999999999,-0.16,0.24
449,-0.008029999999999999,-0.12,0.2
450,-0.00802,0.0,0.2
451,-0.00801,0.12,0.2
452,-0.008,0.24,0.2
453,-0.00799,0.36,0.16
454,-0.00798,0.44,0.2
455,-0.00797,0.48,0.24
456,-0.007959999999999998,0.48,0.24
457,-0.007949999999999999,0.44,0.24
458,-0.00794,0.36,0.24
459,-0.00793,0.28,0.28
460,-0.00792,0.16,0.28
461,-0.00791,0.0,0.24
462,-0.0079,-0.16,0.24
463,-0.00789,-0.24,0.16
464,-0.00788,-0.4,0.12
465,-0.007869999999999999,-0.48,0.08
466,-0.007859999999999999,-0.52,0.04
467,-0.00785,-0.48,0.0
468,-0.00784,-0.48,0.0
469,-0.00783,-0.4,-0.04
470,-0.00782,-0.28,-0.08
471,-0.007809999999999999,-0.16,-0.08
472,-0.0078,-0.04,-0.08
473,-0.007789999999999999,0.08,-0.08
474,-0.00778,0.12,-0.04
475,-0.007769999999999999,0.2,-0.04
476,-0.0077599999999999995,0.24,-0.04
477,-0.007749999999999999,0.2,0.0
478,-0.0077399999999999995,0.12,0.0
479,-0.00773,0.04,0.0
480,-0.007719999999999999,-0.12,0.0
481,-0.00771,-0.24,-0.04
482,-0.007699999999999999,-0.4,-0.04
483,-0.00769,-0.52,-0.08
484,-0.007679999999999999,-0.6,-0.12
485,-0.00767,-0.68,-0.16
486,-0.007659999999999999,-0.72,-0.2
487,-0.00765,-0.72,-0.24
