tempo(s),Vbb(V),Vbe(V),Vce(V)
0.172,5.28,0.72,0.48
0.1724,5.28,0.72,0.48
0.1728,5.28,0.72,0.48
0.17320000000000002,5.2,0.72,0.48
0.1736,5.2,0.72,0.48
0.17400000000000002,5.2,0.72,0.48
0.1744,5.2,0.72,0.48
0.1748,5.2,0.72,0.48
0.1752,5.2,0.72,0.48
0.1756,5.2,0.72,0.48
0.17600000000000002,5.2,0.72,0.48
0.1764,5.2,0.72,0.48
0.1768,5.2,0.72,0.48
0.1772,5.2,0.72,0.48
0.1776,5.12,0.72,0.48
0.17800000000000002,5.12,0.72,0.48
0.1784,5.12,0.72,0.48
0.1788,5.12,0.72,0.56
0.1792,5.12,0.72,0.56
0.1796,5.12,0.72,0.48
0.18000000000000002,5.12,0.72,0.56
0.1804,5.12,0.72,0.56
0.1808,5.12,0.72,0.56
0.1812,5.04,0.72,0.56
0.1816,5.04,0.72,0.56
0.182,5.04,0.72,0.56
0.1824,5.04,0.72,0.56
0.1828,5.04,0.72,0.56
0.1832,5.04,0.72,0.56
0.1836,5.04,0.72,0.56
0.184,5.04,0.72,0.56
0.1844,5.04,0.72,0.56
0.1848,5.04,0.72,0.56
0.1852,5.04,0.72,0.56
0.1856,5.04,0.72,0.56
0.18600000000000003,5.04,0.72,0.64
0.1864,5.04,0.72,0.64
0.1868,5.04,0.72,0.64
0.1872,4.96,0.72,0.64
0.1876,4.96,0.72,0.64
0.188,4.96,0.72,0.64
0.1884,4.96,0.72,0.64
0.1888,4.96,0.72,0.64
0.1892,4.96,0.72,0.64
0.1896,4.96,0.72,0.72
0.19,4.96,0.72,0.72
0.1904,4.96,0.72,0.72
0.1908,4.96,0.72,0.72
0.1912,4.96,0.72,0.72
0.1916,4.96,0.72,0.72
0.192,4.96,0.72,0.8
0.1924,4.88,0.72,0.8
0.1928,4.88,0.72,0.8
0.1932,4.88,0.72,0.8
0.1936,4.88,0.72,0.8
0.19399999999999998,4.88,0.72,0.88
0.1944,4.88,0.72,0.88
0.1948,4.88,0.72,0.88
0.1952,4.88,0.72,0.88
0.1956,4.88,0.72,0.96
0.196,4.88,0.72,0.96
0.1964,4.88,0.72,0.96
0.1968,4.8,0.72,0.96
0.1972,4.8,0.72,1.04
0.1976,4.8,0.72,1.04
0.198,4.8,0.72,1.04
0.1984,4.8,0.72,1.04
0.1988,4.8,0.72,1.12
0.1992,4.8,0.72,1.12
0.1996,4.8,0.72,1.12
0.2,4.8,0.72,1.12
0.2004,4.8,0.72,1.2
0.2008,4.8,0.72,1.2
